Iter 21 | Total: 28.4406 | LL: -19.3488 | CE: 9.0918
Iter 22 | Total: 28.2946 | LL: -19.1259 | CE: 9.1687
Iter 23 | Total: 28.1919 | LL: -18.9281 | CE: 9.2638
Iter 24 | Total: 28.1288 | LL: -18.7522 | CE: 9.3766
Iter 25 | Total: 28.1021 | LL: -18.5954 | CE: 9.5067
Iter 26 | Total: 28.1092 | LL: -18.4554 | CE: 9.6538
Iter 27 | Total: 28.1480 | LL: -18.3302 | CE: 9.8178
Iter 28 | Total: 28.2165 | LL: -18.2180 | CE: 9.9985
Iter 29 | Total: 28.3130 | LL: -18.1174 | CE: 10.1956
Iter 0 | Total: 84.6985 | LL: -73.8929 | CE: 10.8056
Iter 1 | Total: 64.8120 | LL: -54.0704 | CE: 10.7416
Iter 2 | Total: 56.0653 | LL: -45.4246 | CE: 10.6407
Iter 3 | Total: 51.5354 | LL: -40.9916 | CE: 10.5438
Iter 4 | Total: 48.6154 | LL: -38.1770 | CE: 10.4384
Iter 5 | Total: 46.3506 | LL: -36.0375 | CE: 10.3131
Iter 6 | Total: 44.3764 | LL: -34.2140 | CE: 10.1624
Iter 7 | Total: 42.5555 | LL: -32.5702 | CE: 9.9853
Iter 8 | Total: 40.8457 | LL: -31.0604 | CE: 9.7853
Iter 9 | Total: 39.2452 | LL: -29.6762 | CE: 9.5689
Iter 10 | Total: 37.7658 | LL: -28.4212 | CE: 9.3446
Iter 11 | Total: 36.4184 | LL: -27.2973 | CE: 9.1211
Iter 12 | Total: 35.2068 | LL: -26.3005 | CE: 8.9063
Iter 13 | Total: 34.1276 | LL: -25.4210 | CE: 8.7066
Iter 14 | Total: 33.1718 | LL: -24.6457 | CE: 8.5261
Iter 15 | Total: 32.3283 | LL: -23.9611 | CE: 8.3672
Iter 16 | Total: 31.5855 | LL: -23.3547 | CE: 8.2309
Iter 17 | Total: 30.9329 | LL: -22.8158 | CE: 8.1171
Iter 18 | Total: 30.3612 | LL: -22.3361 | CE: 8.0251
Iter 19 | Total: 29.8624 | LL: -21.9086 | CE: 7.9538
Iter 20 | Total: 29.4296 | LL: -21.5276 | CE: 7.9020
Iter 21 | Total: 29.0566 | LL: -21.1883 | CE: 7.8682
Iter 22 | Total: 28.7375 | LL: -20.8862 | CE: 7.8513
Iter 23 | Total: 28.4671 | LL: -20.6171 | CE: 7.8500
Iter 24 | Total: 28.2405 | LL: -20.3773 | CE: 7.8631
Iter 25 | Total: 28.0534 | LL: -20.1634 | CE: 7.8900
Iter 26 | Total: 27.9022 | LL: -19.9723 | CE: 7.9299
Iter 27 | Total: 27.7836 | LL: -19.8013 | CE: 7.9823
Iter 28 | Total: 27.6951 | LL: -19.6480 | CE: 8.0471
Iter 29 | Total: 27.6343 | LL: -19.5104 | CE: 8.1239
Iter 0 | Total: 59.7865 | LL: -48.8497 | CE: 10.9367
Iter 1 | Total: 47.3573 | LL: -36.4965 | CE: 10.8608
Iter 2 | Total: 41.7674 | LL: -31.0239 | CE: 10.7434
Iter 3 | Total: 38.8762 | LL: -28.2440 | CE: 10.6322
Iter 4 | Total: 37.0192 | LL: -26.4964 | CE: 10.5228
Iter 5 | Total: 35.5877 | LL: -25.1787 | CE: 10.4090
Iter 6 | Total: 34.3674 | LL: -24.0748 | CE: 10.2925
Iter 7 | Total: 33.2870 | LL: -23.1070 | CE: 10.1800
