Iter 22 | Total: 30.5191 | LL: -24.5272 | CE: 5.9919
Iter 23 | Total: 30.3434 | LL: -24.3982 | CE: 5.9451
Iter 24 | Total: 30.1901 | LL: -24.2825 | CE: 5.9076
Iter 25 | Total: 30.0585 | LL: -24.1787 | CE: 5.8798
Iter 26 | Total: 29.9477 | LL: -24.0855 | CE: 5.8621
Iter 27 | Total: 29.8568 | LL: -24.0020 | CE: 5.8548
Iter 28 | Total: 29.7851 | LL: -23.9272 | CE: 5.8580
Iter 29 | Total: 29.7317 | LL: -23.8600 | CE: 5.8717
  0%|          | 0/8 [00:00<?, ?it/s] 62%|██████▎   | 5/8 [00:00<00:00, 40.51it/s]100%|██████████| 8/8 [00:00<00:00, 38.32it/s]
  0%|          | 0/21232 [00:00<?, ?it/s] 24%|██▍       | 5195/21232 [00:00<00:00, 51945.84it/s] 51%|█████     | 10767/21232 [00:00<00:00, 54159.28it/s] 76%|███████▌  | 16183/21232 [00:00<00:00, 52392.90it/s]100%|██████████| 21232/21232 [00:00<00:00, 53976.67it/s]
/hpc/group/yizhanglab/vk93/micromamba-envs/envs/codex-sthd/lib/python3.10/site-packages/anndata/_core/aligned_df.py:68: ImplicitModificationWarning: Transforming to str index.
  warnings.warn("Transforming to str index.", ImplicitModificationWarning)
Building cKDTree for instant spatial querying...
Calculating rigid partitions...
Extracting 4 patches with halo...
  0%|          | 0/4 [00:00<?, ?it/s] 25%|██▌       | 1/4 [00:00<00:00,  5.83it/s] 50%|█████     | 2/4 [00:00<00:00,  5.81it/s] 75%|███████▌  | 3/4 [00:00<00:00,  5.76it/s]100%|██████████| 4/4 [00:00<00:00,  5.71it/s]100%|██████████| 4/4 [00:00<00:00,  5.73it/s]
Iter 0 | Total: nan | LL: nan | CE: 9.2201
Iter 1 | Total: nan | LL: nan | CE: nan
Iter 2 | Total: nan | LL: nan | CE: nan
Iter 3 | Total: nan | LL: nan | CE: nan
Iter 4 | Total: nan | LL: nan | CE: nan
Iter 5 | Total: nan | LL: nan | CE: nan
Iter 6 | Total: nan | LL: nan | CE: nan
Iter 7 | Total: nan | LL: nan | CE: nan
Iter 8 | Total: nan | LL: nan | CE: nan
Iter 9 | Total: nan | LL: nan | CE: nan
Iter 10 | Total: nan | LL: nan | CE: nan
Iter 11 | Total: nan | LL: nan | CE: nan
Iter 12 | Total: nan | LL: nan | CE: nan
Iter 13 | Total: nan | LL: nan | CE: nan
Iter 14 | Total: nan | LL: nan | CE: nan
Iter 15 | Total: nan | LL: nan | CE: nan
Iter 16 | Total: nan | LL: nan | CE: nan
Iter 17 | Total: nan | LL: nan | CE: nan
Iter 18 | Total: nan | LL: nan | CE: nan
Iter 19 | Total: nan | LL: nan | CE: nan
Iter 20 | Total: nan | LL: nan | CE: nan
Iter 21 | Total: nan | LL: nan | CE: nan
Iter 22 | Total: nan | LL: nan | CE: nan
Iter 23 | Total: nan | LL: nan | CE: nan
Iter 24 | Total: nan | LL: nan | CE: nan
Iter 25 | Total: nan | LL: nan | CE: nan
Iter 26 | Total: nan | LL: nan | CE: nan
Iter 27 | Total: nan | LL: nan | CE: nan
Iter 28 | Total: nan | LL: nan | CE: nan
Iter 29 | Total: nan | LL: nan | CE: nan
